Name,age,birth_year,death_year,recognized,enthronement,birth_place,birth_region,country
Gendun Drup, 82,1391, 1474, NA, NA, Gyurmey Rupa (near Sakya), U-Tsang, Tibet
Gendun Gyatso, 67, 1475, 1542, NA, NA, Tanak (near Shigatse), U-Tsang, Tibet
Sonam Gyatso, 44, 1543, 1588, NA, 1578, Near Lhasa, U-Tsang, Tibet
Yonten Gyatso, 28, 1589, 1617, NA, 1603, Mongolia, Mongolia, Mongolia
Ngawang Lobsang Gyatso, 64, 1617, 1682, 1618, 1622, Lhoka Chingwa Taktse, U-Tsang, Tibet
Tsangyang Gyatso, 23, 1683, 1706, 1688, 1697, Tawang Town, Arunachal Pradesh, India
Kelzang Gyatso, 49, 1707, 1757, NA, 1720, Lithang, Kham, Tibet
Jamphel Gyatso, 46, 1758, 1804, 1760, 1762, Thobgyal, U-Tsang, Tibet
Lungtok Gyatso, 9, 1805, 1815, 1807, 1808, Dan Chokhor, Kham, Tibet
Tsultrim Gyatso, 20, 1816, 1837, 1822, 1822, Lithang, Kham, Tibet
Khendrup Gyatso, 17, 1838, 1856, 1841, 1842, Gathar, Kham, Tibet
1Trinley Gyatso, 18, 1857, 1875, 1858, 1860, Lhokha, U-Tsang, Tibet
Thubten Gyatso, 57, 1876, 1933, 1878, 1879, Thakpo Langdun, U-Tsang, Tibet
Tenzin Gyatso, 79, 1933, NA, 1937, 1950, Taktser, Amdo, Tibet
