protest_date,age_mod
09-02-27,
11-03-16,
12-08-15,
12-09-26,
11-09-26,
11-10-03,
11-10-07,
11-10-07,
11-10-15,
11-10-17,
11-10-25,35
11-11-03,
11-12-01,35
12-01-06,25
12-01-06,25
12-01-08,45
12-01-14,
12-02-08,18
12-02-09,35
12-02-11,18
12-02-13,19
12-02-17,38
12-02-19,18
12-03-03,19
12-03-04,32
12-03-05,18
12-03-10,18
12-03-14,35
12-03-16,
12-03-17,44
12-03-28,20
12-03-30,22
12-03-30,21
12-04-06,
12-04-06,23
12-04-19,25
12-04-19,25
12-05-27,19
12-05-27,25
12-05-30,33
12-06-15,48
12-06-15,24
12-06-20,22
12-06-27,45
12-07-07,22
12-07-17,18
12-08-06,21
12-08-07,25
12-08-10,24
12-08-13,21
12-08-13,20
12-08-27,18
12-08-27,17
12-09-13,62
12-09-25,27
12-10-04,43
12-10-06,27
12-10-13,52
12-10-20,27
12-10-22,65
12-10-23,57
12-10-25,20
12-10-25,25
12-10-26,24
12-10-26,23
12-11-04,25
12-11-07,23
12-11-07,15
12-11-07,16
12-11-07,16
12-11-07,27
12-11-08,18
12-11-10,19
12-11-12,24
12-11-12,20
12-11-15,23
12-11-15,18
12-11-17,26
12-11-17,24
12-11-19,25
12-11-19,35
12-11-22,18
12-11-22,29
12-11-23,23
12-11-25,
12-11-26,24
12-11-26,18
12-11-26,24
12-11-27,24
12-11-28,18
12-11-28,21
12-11-29,31
12-11-30,29
12-12-02,
12-12-03,29
12-12-08,24
12-12-08,23
12-12-09,16
13-01-12,22
13-01-18,28
13-01-22,23
13-02-03,37
13-02-13,26
13-02-17,49
13-02-19,17
13-02-19,18
13-02-24,22
13-02-25,27
13-02-25,
13-03-13,31
13-03-16,28
13-03-24,30
13-03-25,43
13-03-26,28
,
13-04-16,20
13-04-24,23
13-04-24,20
13-05-27,32
13-06-11,21
13-07-20,18
13-09-28,41
13-11-11,20
13-12-03,30
13-12-19,41
14-02-07,28
14-02-13,25
14-03-16,20
14-03-16,
14-03-29,
14-04-15,32
14-09-16,42
14-09-17,22
14-12-16,
14-12-22,20
14-12-23,28
15-03-06,40
